date,flua.pH1,qmflua,qmflub,qmtotal,qmpos
5/17/2008,0,3,1,168,4
5/24/2008,0,2,2,161,4
5/31/2008,0,2,0,190,2
6/7/2008,0,6,1,157,7
6/14/2008,0,6,1,212,7
6/21/2008,0,6,5,226,11
6/28/2008,0,8,2,196,10
7/5/2008,0,7,1,165,8
7/12/2008,0,20,5,219,25
7/19/2008,0,39,2,214,41
7/26/2008,0,40,3,297,43
8/2/2008,0,58,5,280,63
8/9/2008,0,39,6,259,45
8/16/2008,0,13,2,237,15
8/23/2008,0,17,1,235,18
8/30/2008,0,14,1,228,15
9/6/2008,0,10,3,210,13
9/13/2008,0,10,4,255,14
9/20/2008,0,11,1,210,12
9/27/2008,0,3,1,233,4
10/4/2008,0,6,0,205,6
10/11/2008,0,3,1,162,4
10/18/2008,0,1,0,162,1
10/25/2008,0,1,2,185,3
11/1/2008,0,1,0,190,1
11/8/2008,0,1,0,182,1
11/15/2008,0,1,0,196,1
11/22/2008,0,0,0,234,0
11/29/2008,0,1,1,195,2
12/6/2008,0,1,0,186,1
12/13/2008,0,1,0,196,1
12/20/2008,0,1,2,216,3
12/27/2008,0,2,0,227,2
1/3/2009,0,5,1,213,6
1/10/2009,0,3,2,186,5
1/17/2009,0,7,1,189,8
1/24/2009,0,25,2,215,27
1/31/2009,0,44,5,220,49
2/7/2009,0,56,0,268,56
2/14/2009,0,48,2,270,50
2/21/2009,0,46,0,248,46
2/28/2009,0,30,2,229,32
3/7/2009,0,20,1,205,21
3/14/2009,0,8,1,212,9
3/21/2009,0,9,1,185,10
3/28/2009,0,7,1,204,8
4/4/2009,0,4,1,180,5
4/11/2009,0,5,1,223,6
4/18/2009,0,2,1,230,3
4/25/2009,0,2,0,241,2
5/2/2009,1,1,0,277,2
5/9/2009,0,4,0,287,4
5/16/2009,1,3,1,292,5
5/23/2009,2,0,1,287,3
5/30/2009,23,4,2,336,29
6/6/2009,15,6,2,359,23
6/13/2009,20,10,0,351,30
6/20/2009,64,18,0,455,82
6/27/2009,57,15,0,442,72
7/4/2009,8,21,0,264,29
7/11/2009,9,34,1,312,44
7/18/2009,34,57,0,384,91
7/25/2009,41,80,1,485,122
8/1/2009,58,100,1,567,159
8/8/2009,67,99,0,597,166
8/15/2009,84,54,0,566,138
8/22/2009,107,50,0,690,157
8/29/2009,144,34,1,718,179
9/5/2009,140,68,3,766,211
9/12/2009,194,49,0,857,243
9/19/2009,284,27,0,821,311
9/26/2009,279,17,0,769,296
10/3/2009,202,5,0,584,207
10/10/2009,169,8,1,596,178
10/17/2009,61,5,3,474,69
10/24/2009,33,1,1,399,35
10/31/2009,28,1,0,384,29
11/7/2009,14,0,0,404,14
11/14/2009,16,0,1,367,17
11/21/2009,20,0,0,359,20
11/28/2009,23,0,0,406,23
12/5/2009,33,0,0,479,33
12/12/2009,28,2,0,447,30
12/19/2009,20,1,0,395,21
12/26/2009,34,1,0,463,35
1/2/2010,31,0,1,441,32
1/9/2010,41,1,2,422,44
1/16/2010,16,1,4,389,21
1/23/2010,10,13,0,387,23
1/30/2010,13,4,0,348,17
2/6/2010,9,3,5,360,17
2/13/2010,9,0,1,350,10
2/20/2010,6,0,1,346,7
2/27/2010,9,1,2,472,12
3/6/2010,15,0,12,514,27
3/13/2010,8,0,7,406,15
3/20/2010,16,0,17,464,33
3/27/2010,7,0,20,557,27
4/3/2010,7,0,10,432,17
4/10/2010,8,0,9,333,17
4/17/2010,5,0,7,329,12
4/24/2010,2,0,6,327,8
5/1/2010,2,2,8,285,12
5/8/2010,2,1,8,310,11
5/15/2010,2,0,5,303,7
5/22/2010,2,0,12,299,14
5/29/2010,1,2,3,272,6
6/5/2010,1,0,3,286,4
6/12/2010,NA,0,5,235,5
6/19/2010,NA,2,2,247,4
6/26/2010,NA,1,3,255,4
7/3/2010,NA,2,2,212,4
7/10/2010,NA,6,2,248,8
7/17/2010,NA,9,2,220,11
7/24/2010,NA,5,1,238,6
7/31/2010,NA,21,3,263,24
8/7/2010,NA,26,1,268,27
8/14/2010,NA,42,3,299,45
8/21/2010,NA,47,8,294,55
8/28/2010,NA,59,1,362,60
9/4/2010,NA,58,2,326,60
9/11/2010,NA,47,2,317,49
9/18/2010,NA,58,1,343,59
9/25/2010,NA,38,2,363,40
10/2/2010,NA,53,0,344,53
10/9/2010,NA,37,0,341,37
10/16/2010,NA,26,2,287,28
10/23/2010,NA,15,1,311,16
10/30/2010,NA,7,0,269,7
11/6/2010,NA,8,0,288,8
11/13/2010,NA,4,1,310,5
11/20/2010,NA,6,0,319,6
11/27/2010,NA,8,1,352,9
12/4/2010,NA,4,2,373,6
12/11/2010,NA,2,0,346,2
12/18/2010,NA,1,0,328,1
12/25/2010,NA,10,3,304,13
1/1/2011,NA,6,3,300,9
1/8/2011,NA,9,4,304,13
1/15/2011,NA,27,1,361,28
1/22/2011,NA,46,3,417,49
1/29/2011,NA,85,3,516,88
2/5/2011,NA,94,8,548,102
2/12/2011,NA,103,5,548,108
2/19/2011,NA,40,4,426,44
2/26/2011,NA,20,4,377,24
3/5/2011,NA,28,2,419,30
3/12/2011,NA,15,4,250,19
3/19/2011,NA,3,8,295,11
3/26/2011,NA,3,3,305,6
4/2/2011,NA,2,7,308,9
4/9/2011,NA,0,9,340,9
4/16/2011,NA,0,6,316,6
4/23/2011,NA,0,4,279,4
4/30/2011,NA,0,3,276,3
5/7/2011,NA,0,6,219,6
5/14/2011,NA,0,9,260,9
5/21/2011,NA,0,6,219,6
5/28/2011,NA,0,1,180,1
6/4/2011,NA,0,2,291,2
6/11/2011,NA,0,2,252,2
6/18/2011,NA,0,0,261,0
6/25/2011,NA,2,2,309,4
7/2/2011,NA,2,0,247,2
